iter	RMSE
0	458.0510261
1	446.9247584
2	435.4364909
3	426.1276829
4	417.4061586
5	410.9784236
6	404.0231442
7	397.0421785
8	390.8390862
9	384.6664657
10	379.3369136
11	373.7169943
12	369.8589898
13	366.33554
14	362.6418194
15	359.6776519
16	356.3864476
17	352.0772119
18	350.524167
19	347.8503093
20	344.6112439
21	341.9237123
22	339.6976325
23	337.1979089
24	333.8398887
25	331.8982453
26	329.4261782
27	327.0800061
28	324.6284122
29	320.9410317
30	316.4264528
31	315.1668619
32	311.8613522
33	310.2485426
34	307.7136625
35	305.7770784
36	303.6629426
37	301.9516775
38	300.717023
39	299.613482
40	297.1391397
41	295.5033701
42	293.7119749
43	290.9899793
44	289.5107547
45	287.9473651
46	286.3700406
47	284.6877769
48	282.9451455
49	279.9650249
50	278.223396
51	277.3153966
52	275.4153162
53	272.7073644
54	270.7798491
55	269.69417
56	267.8533131
57	265.5110805
58	264.5967904
59	263.1240356
60	261.7337936
61	259.7943032
62	258.8021134
63	257.2938282
64	254.4195164
65	253.0698338
66	251.2529127
67	249.5628548
68	248.5221724
69	247.6621124
70	246.3561709
71	244.6864874
72	243.9249637
73	243.182574
74	241.0637718
75	239.6768315
76	237.9532411
77	237.0057337
78	235.964492
79	234.5898619
80	233.492653
81	231.8807358
82	230.5199505
83	229.1997939
84	227.5984346
85	226.0901988
86	224.4114791
87	222.9437858
88	222.2638211
89	221.5223456
90	220.8040933
91	219.6299285
92	218.7249055
93	218.2334294
94	217.521768
95	216.5420821
96	215.6955642
97	215.0171964
98	214.1117939
99	212.761736
100	212.0062423
101	211.3891235
102	210.733915
103	209.0340417
104	208.2468823
105	207.0152921
106	206.3750444
107	204.5859415
108	203.5062324
109	203.0141722
110	202.3243106
111	201.3380504
112	200.7615992
113	199.7031109
114	198.6085809
115	197.8559035
116	196.5182772
117	195.8781229
118	195.3961573
119	194.7224878
120	193.9882334
121	193.0306679
122	192.1963407
123	191.6489224
124	190.7358482
125	188.9478604
126	187.3595299
127	186.3496228
128	185.6320776
129	185.0475626
130	183.9257142
131	182.6625848
132	181.7915303
133	181.2472849
134	180.1888801
135	179.7614797
136	178.8316092
137	178.0705283
138	176.9346334
139	175.7670357
140	175.2149873
141	174.4800113
142	174.0996647
143	173.2936427
144	172.8419383
145	172.4882038
146	171.7254621
147	170.7169004
148	169.4886424
149	168.9798394
150	168.4863466
151	167.9604868
152	167.4696451
153	166.5054418
154	165.7030928
155	165.0171833
156	164.0080846
157	163.1050973
158	161.9873849
159	161.3697327
160	160.8126082
161	159.7856861
162	159.08316
163	158.5898804
164	157.4269675
165	156.65313
166	156.1665955
167	155.7099988
168	155.063306
169	153.9665832
170	153.5031108
171	152.6813902
172	152.2127288
173	151.3004574
174	150.6880801
175	150.3566201
176	149.9306257
177	149.2803812
178	149.0025071
179	148.7613352
180	148.4016845
181	148.0296702
182	147.2575033
183	146.9397918
184	146.5437236
185	145.6150104
186	145.1251472
187	144.6812087
188	144.2562808
189	143.2048894
190	142.6700242
191	142.0557057
192	141.6004841
193	141.1191597
194	140.306293
195	139.9368282
196	139.4352506
197	139.2555411
198	138.5897276
199	137.773556
200	137.1724191
201	136.7410859
202	136.149458
203	134.9911144
204	134.4916731
205	133.7122632
206	133.3332702
207	132.8596736
208	132.5157582
209	132.1237837
210	131.5472765
211	131.2392145
212	130.5603816
213	130.1182165
214	129.6555419
