iter	Passed	Remaining
0	174	157186
1	197	88615
2	219	65593
3	240	53977
4	263	47246
5	286	42689
6	309	39505
7	332	37067
8	356	35251
9	379	33759
10	402	32564
11	426	31558
12	449	30703
13	473	29982
14	497	29374
15	521	28821
16	544	28277
17	569	27918
18	593	27541
19	618	27211
20	642	26892
21	666	26601
22	690	26328
23	714	26077
24	738	25858
25	762	25648
26	787	25456
27	810	25254
28	836	25111
29	859	24939
30	883	24776
31	907	24618
32	931	24462
33	954	24323
34	978	24192
35	1004	24098
36	1029	24006
37	1052	23883
38	1076	23763
39	1100	23662
40	1125	23570
41	1149	23475
42	1174	23415
43	1200	23359
44	1227	23313
45	1253	23270
46	1279	23219
47	1305	23171
48	1330	23110
49	1356	23065
50	1382	23010
51	1407	22947
52	1432	22896
53	1458	22845
54	1484	22806
55	1510	22759
56	1535	22703
57	1561	22667
58	1587	22625
59	1613	22583
60	1638	22539
61	1664	22495
62	1689	22449
63	1715	22404
64	1741	22368
65	1767	22337
66	1792	22287
67	1818	22249
68	1843	22206
69	1869	22168
70	1896	22146
71	1922	22109
72	1948	22073
73	1974	22035
74	2000	22003
75	2025	21959
76	2051	21929
77	2076	21885
78	2102	21849
79	2128	21817
80	2154	21785
81	2179	21745
82	2206	21720
83	2232	21686
84	2258	21654
85	2284	21619
86	2309	21582
87	2334	21539
88	2359	21500
89	2384	21458
90	2409	21416
91	2433	21372
92	2458	21332
93	2483	21295
94	2509	21262
95	2533	21220
96	2559	21188
97	2584	21151
98	2610	21123
99	2636	21094
100	2660	21050
101	2686	21016
102	2710	20974
103	2736	20944
104	2761	20908
105	2786	20873
106	2811	20836
107	2837	20807
108	2862	20776
109	2887	20740
110	2913	20708
111	2939	20678
112	2963	20641
113	2988	20607
114	3014	20578
115	3039	20543
116	3065	20512
117	3090	20484
118	3116	20452
119	3141	20420
120	3167	20389
121	3192	20360
122	3218	20332
123	3243	20298
124	3269	20270
125	3294	20238
126	3320	20210
127	3345	20180
128	3370	20147
129	3395	20111
130	3421	20082
131	3446	20052
132	3471	20020
133	3506	20043
134	3531	20011
135	3556	19978
136	3581	19944
137	3607	19917
138	3632	19885
139	3657	19853
140	3683	19825
141	3708	19795
142	3733	19764
143	3759	19735
144	3784	19706
145	3809	19672
146	3834	19643
147	3860	19615
148	3885	19585
149	3910	19554
150	3936	19526
151	3962	19497
152	3987	19467
153	4012	19437
154	4038	19412
155	4064	19383
156	4090	19357
157	4116	19330
158	4141	19302
159	4167	19273
160	4192	19245
161	4218	19216
162	4243	19188
163	4269	19161
164	4295	19133
165	4321	19106
166	4347	19082
167	4373	19054
168	4398	19025
169	4424	18998
170	4448	18966
171	4474	18937
172	4500	18913
173	4525	18883
174	4551	18854
175	4577	18828
176	4602	18801
177	4628	18772
178	4653	18745
179	4678	18712
180	4703	18682
181	4728	18654
182	4753	18625
183	4778	18596
184	4804	18568
185	4830	18542
186	4856	18516
187	4882	18489
188	4906	18458
189	4932	18432
190	4957	18403
191	4984	18381
192	5010	18354
193	5035	18325
