ТЭА/КК Р1А,ТЭА/КК Р1В,донор/КК Р1А,донор/КК З1В,нефрас R1A,нефрас R1B,водород R1A,водород R1B,Н2/ПП Р1А,Н2/ПП Р1В,пропилен R1A,пропилен R1B,K/ПП R1A,K/ПП R1B,давление R1A,температура R1A,давление R1B,температура R1B,Произв
0.172572241,0.156451026,0.020258512,0.01824711,5935.198869,5940.260189,0.224810265,0.167040832,3.60E-05,2.67E-05,6248.422518,6249.364089,0.019761433,0.021916981,7.527601902,70.00205994,7.492661633,70.02555847,11290.14338
0.171812701,0.158272838,0.019915531,0.018454457,5936.885341,5936.720097,0.224843405,0.167307354,3.60E-05,2.68E-05,6249.617072,6250.080497,0.020081322,0.021673826,7.551398754,70.01434326,7.444041793,69.99463399,11258.02266
0.169984822,0.160250034,0.019612095,0.018678753,5939.274339,5941.842828,0.224590408,0.167641327,3.59E-05,2.68E-05,6251.972727,6250.128558,0.020397299,0.021433019,7.545727811,70.02732171,7.402551715,70.00310262,11268.7959
0.166330289,0.16182485,0.019290024,0.018877904,5937.34825,5937.803994,0.223973666,0.167885905,3.58E-05,2.69E-05,6249.295797,6248.96429,0.020729718,0.021196327,7.510116482,70.0029246,7.376805486,69.98858134,11265.2817
0.16488398,0.165357543,0.019215025,0.019256853,5937.63822,5937.410126,0.223534577,0.168196602,3.58E-05,2.69E-05,6249.547459,6249.853918,0.020824431,0.020765845,7.47840397,70.00025431,7.36465738,69.9676005,11276.84653
0.164488913,0.168623166,0.019122429,0.019667254,5937.949825,5937.424426,0.223749627,0.168450833,3.58E-05,2.70E-05,6250.175932,6250.2934,0.020917875,0.020336949,7.450834777,70.00063578,7.372102058,69.99849955,11279.05968
0.16320152,0.172248957,0.019031699,0.020089014,5967.012679,5959.291577,0.225072469,0.169178933,3.58E-05,2.69E-05,6283.16086,6282.487067,0.020903098,0.01980749,7.432517517,69.99178569,7.380676746,69.98710632,11329.22115
0.157853355,0.171768712,0.018583345,0.020172095,5985.306297,5982.256126,0.22547158,0.169312132,3.58E-05,2.69E-05,6300.483272,6299.738293,0.021471616,0.019815156,7.431588238,69.99834696,7.405760121,69.99633789,11357.43652
0.153893737,0.171268047,0.018157189,0.020245215,5985.332088,5984.557965,0.225129028,0.169225276,3.57E-05,2.69E-05,6299.937663,6300.049148,0.02209952,0.019876083,7.424932647,70.00132243,7.427745926,70.02794902,11367.97237
0.1515663,0.170780219,0.01789347,0.020145116,5985.023151,5984.505151,0.224266743,0.169061862,3.56E-05,2.68E-05,6299.917859,6300.873954,0.022725635,0.019935377,7.427115911,69.9970754,7.438223737,70.01604716,11346.59423
0.159107217,0.169493474,0.018775568,0.01999094,5985.427063,5984.975708,0.223930018,0.168949493,3.55E-05,2.68E-05,6300.488245,6300.080902,0.021587619,0.020097451,7.431857336,69.9953715,7.446256733,70.00241597,11342.22428
0.165762145,0.167997011,0.01955602,0.019869349,5983.056529,5983.85776,0.223733043,0.168645336,3.55E-05,2.68E-05,6298.077871,6299.474154,0.020459489,0.020258966,7.442514825,69.99608358,7.452378736,69.99827067,11329.4196
0.174979777,0.16683081,0.020640691,0.0197132,5984.641164,5975.497205,0.223615249,0.168490519,3.55E-05,2.67E-05,6299.792979,6300.688784,0.019317835,0.020414609,7.460938253,69.99087016,7.460260355,69.99969482,11316.54593
0.176349944,0.166326584,0.020818298,0.019689982,5984.464667,5979.541246,0.223222511,0.168301416,3.54E-05,2.67E-05,6299.698818,6299.99302,0.019720675,0.020469054,7.484179578,70.00775655,7.458544781,69.98184204,11301.46009
0.16804699,0.166195239,0.019833702,0.019629195,5986.071303,5978.133887,0.223195798,0.166917017,3.54E-05,2.65E-05,6300.487555,6300.696263,0.020120707,0.020518955,7.501452216,70.00910441,7.468581635,70.02494812,11315.1857
0.165906644,0.165360235,0.019570281,0.01952137,5982.763719,5979.121206,0.223173931,0.165240033,3.54E-05,2.62E-05,6299.02725,6299.54908,0.020527965,0.020574886,7.533792923,69.98387655,7.468656717,69.97988383,11306.56043
0.167183003,0.164722779,0.019734884,0.019440767,5984.274217,5984.098855,0.223448883,0.164551384,3.55E-05,2.61E-05,6299.741913,6299.811011,0.020614852,0.020659511,7.562894428,69.99690586,7.475744635,69.99359131,11300.14696
0.162657876,0.164060813,0.019192816,0.019369323,5985.496086,5982.072902,0.224150728,0.164035549,3.56E-05,2.60E-05,6300.667149,6300.420516,0.020701026,0.020742985,7.585534861,70.0008138,7.503030703,69.99804179,11330.69215
0.164817312,0.163397227,0.019445853,0.019289442,5984.089809,5980.169621,0.22491811,0.163659814,3.57E-05,2.60E-05,6299.542983,6299.67301,0.020793939,0.020830929,7.601082299,70.00612895,7.530571349,69.97599284,11325.49515
0.160305706,0.160322009,0.018912892,0.018937262,5986.136013,5967.479506,0.225824442,0.163167077,3.58E-05,2.59E-05,6300.388236,6300.839655,0.021428233,0.021218832,7.603359574,70.00259399,7.558235325,70.00620524,11326.5029
0.15355004,0.157565433,0.018125112,0.018594657,5985.784226,5959.505025,0.22646032,0.163100175,3.59E-05,2.59E-05,6300.906586,6300.268744,0.022063503,0.02161255,7.601786272,70.0075531,7.582929271,70.02723694,11322.57714
0.151617956,0.154846549,0.01788211,0.018274007,5985.132772,5960.244613,0.227035921,0.163149232,3.60E-05,2.59E-05,6300.179911,6300.651815,0.022703153,0.022003007,7.593230798,69.97227987,7.58527297,69.99046326,11333.36197
0.15190986,0.152711102,0.017928628,0.018051391,5984.492668,5962.613308,0.226938158,0.16277921,3.60E-05,2.58E-05,6299.797121,6300.623753,0.022483497,0.022281273,7.620991315,70.00793457,7.585211716,70.00457764,11319.82834
0.152118063,0.150843584,0.017947635,0.017821195,5984.669869,5964.328229,0.225948974,0.162148326,3.59E-05,2.57E-05,6300.247459,6300.298283,0.02226087,0.022560606,7.632836592,69.99768575,7.585905508,69.99099731,11321.87365
0.15417903,0.149088107,0.018189863,0.01759395,5985.107971,5960.947304,0.225302501,0.162018914,3.58E-05,2.57E-05,6300.223775,6300.538222,0.022039932,0.022837918,7.646614446,69.99839783,7.596003085,69.98967489,11319.26213
0.153086996,0.146634154,0.01806675,0.017302475,5984.652688,5952.068679,0.225218357,0.161913001,3.58E-05,2.57E-05,6299.69833,6299.50578,0.022304052,0.023191321,7.655763733,70.00424703,7.628568868,69.99369303,11296.42825
0.151275234,0.144563851,0.017845279,0.017057869,5984.765015,5938.908181,0.224885786,0.161169448,3.57E-05,2.56E-05,6299.763194,6300.855851,0.022566101,0.023535937,7.65777988,69.99816895,7.664847678,69.99651591,11293.70412
0.149488591,0.14247759,0.017642003,0.016808104,5987.288344,5944.1526,0.224855549,0.160683836,3.57E-05,2.55E-05,6301.137209,6299.767837,0.022823402,0.023889648,7.658097905,70.00473022,7.676975385,70.01993815,11309.49281
0.148225898,0.140107568,0.017485662,0.016543044,5985.166644,5971.180552,0.224971886,0.160609105,3.57E-05,2.55E-05,6299.234387,6300.953876,0.023025257,0.024291471,7.649781269,70.00546773,7.659709543,70.00071208,11336.46743
0.148813315,0.137815266,0.017558564,0.016254616,5985.121147,5969.141014,0.225072751,0.160524638,3.57E-05,2.55E-05,6300.346747,6300.642452,0.023216118,0.024699011,7.650235063,69.98357137,7.64606518,69.97828166,11340.33685
0.145675475,0.135578157,0.017190687,0.016001394,5985.260982,5968.58517,0.225239647,0.160472509,3.58E-05,2.55E-05,6300.136827,6299.222797,0.023411824,0.025111009,7.663627849,69.99061584,7.648771866,69.99633789,11338.58315
0.143331445,0.134003546,0.016914261,0.015804623,5984.813214,5967.886466,0.22545891,0.160621285,3.58E-05,2.55E-05,6299.964292,6301.015259,0.023703191,0.025391133,7.679389377,70.00027974,7.652782822,70.01958211,11349.74916
0.140973149,0.132828161,0.016636853,0.015671391,5985.2691,5968.793742,0.225882429,0.160717763,3.59E-05,2.55E-05,6300.210799,6300.368766,0.023992977,0.025681035,7.68826737,70.00005086,7.648536102,69.982783,11337.96003
0.141818765,0.131079769,0.016727728,0.015471154,5984.06275,5968.152317,0.225728327,0.160760448,3.58E-05,2.55E-05,6299.768679,6299.816927,0.024285395,0.025970606,7.700627794,70.00272115,7.646513093,69.99814351,11352.61931
0.139461974,0.13001084,0.016461366,0.015366333,5984.582204,5969.381862,0.225139972,0.160642929,3.57E-05,2.55E-05,6299.512122,6300.036747,0.024593502,0.026180423,7.703707069,69.98936971,7.641208071,69.98736064,11335.54558
0.135753404,0.128967323,0.016013322,0.015197187,5984.976119,5968.474365,0.224647875,0.160506939,3.57E-05,2.55E-05,6300.123838,6300.080066,0.024898202,0.026390965,7.724664237,69.99046326,7.658352778,69.98672485,11363.08499
0.136759972,0.127719196,0.016127539,0.015035462,5982.721906,5951.766331,0.224144388,0.160223158,3.56E-05,2.54E-05,6298.297225,6298.058698,0.0252126,0.026610225,7.749750529,69.99249776,7.71963622,69.97375488,11356.39422
0.131945328,0.127385508,0.015574063,0.015022703,5984.348987,5928.737797,0.223969565,0.159777114,3.56E-05,2.54E-05,6299.729175,6295.97501,0.025664345,0.026748664,7.773381849,70.00505235,7.779091058,69.98855591,11345.43958
0.131742833,0.126744913,0.015550721,0.015000953,5985.361208,5913.761662,0.224097046,0.159676033,3.56E-05,2.54E-05,6299.406388,6294.160795,0.026123161,0.026886044,7.78857525,70.00498454,7.820109169,70.03041585,11341.96902
0.12845624,0.126492218,0.015163028,0.01493061,5983.81226,5906.693646,0.224480188,0.15934357,3.56E-05,2.53E-05,6300.497622,6292.407823,0.026576057,0.02702324,7.815419831,69.97249179,7.844370641,70.01146952,11369.26181
0.125558325,0.125518144,0.014810101,0.014802369,5982.273254,5862.654415,0.224264273,0.158978353,3.56E-05,2.53E-05,6299.44531,6291.087805,0.026785724,0.027042514,7.851245205,70.01328786,7.868127487,69.98265584,11356.36511
0.126671434,0.126215267,0.014957763,0.014901949,5985.134017,5840.399736,0.224511699,0.158765074,3.56E-05,2.52E-05,6299.981337,6291.683331,0.026988655,0.027053558,7.861879327,70.01223246,7.89564847,69.99071757,11337.46455
0.124791366,0.125949247,0.014720368,0.014852747,5984.613723,5832.200828,0.22448631,0.158771524,3.56E-05,2.52E-05,6300.058541,6292.451137,0.027193532,0.027063858,7.869612767,69.93377686,7.926364066,69.99303182,11345.09627
0.12747569,0.125944552,0.015042571,0.014853693,5983.517999,5824.269432,0.224428131,0.158598019,3.56E-05,2.52E-05,6299.273655,6291.913373,0.027198516,0.027059213,7.950278477,70.01492818,7.948171763,69.99209086,11341.96417
0.12453005,0.125925454,0.014700467,0.014874838,5984.141823,5817.195463,0.22433404,0.158711327,3.56E-05,2.52E-05,6299.620962,6291.356376,0.027198612,0.027054649,7.980522561,70.02540588,7.97135734,70.00554403,11314.90946
0.125736324,0.126000184,0.01482936,0.014854644,5986.603286,5807.614624,0.224219464,0.158087484,3.56E-05,2.51E-05,6301.250537,6291.410199,0.027193173,0.027047459,7.986139337,70.01190186,7.994188001,70.01764933,11322.89549
0.124131682,0.123803058,0.014648327,0.014594558,5985.246802,5803.620449,0.223516845,0.155744069,3.55E-05,2.48E-05,6299.225816,6292.500435,0.027637314,0.027529862,7.979878445,70.01492818,8.005997221,69.97657776,11313.35828
0.120416517,0.121617929,0.014214382,0.014342825,5987.133014,5812.394088,0.223256696,0.153214797,3.54E-05,2.44E-05,6301.571973,6291.421169,0.028062263,0.028021758,7.960918276,70.0281016,8.020554906,70.02276103,11333.88748
0.119667848,0.119658466,0.014125093,0.014112149,5986.18055,5817.981148,0.223205317,0.151277395,3.54E-05,2.40E-05,6300.54055,6292.136228,0.028502167,0.028505692,7.910500032,70.01757304,8.006923958,69.99806722,11046.37685
0.118085749,0.116741145,0.013932395,0.013786739,5986.670949,5822.717686,0.223194176,0.149999499,3.54E-05,2.38E-05,6300.810288,6292.45741,0.029081764,0.029175471,7.84891656,70.01490275,7.990918589,70.02161662,10807.05538
0.115483162,0.114174105,0.01363083,0.013463684,5986.406921,5833.174563,0.223508168,0.149523866,3.55E-05,2.38E-05,6300.556885,6292.899056,0.029663775,0.029844611,7.783469367,70.00658671,7.963325852,70.00574748,10763.39277
0.112826745,0.11169182,0.013314306,0.013184713,5985.114453,5847.468819,0.22387607,0.14930549,3.55E-05,2.37E-05,6299.311566,6292.576318,0.030250595,0.030517363,7.722718209,69.99944051,7.924482761,70.03819784,10598.93506
0.113896153,0.110231413,0.013438524,0.013007261,5986.673875,5865.728534,0.224347509,0.149694871,3.56E-05,2.38E-05,6301.09613,6292.079926,0.029911402,0.030922764,7.669597022,70.00017802,7.866263431,69.99216715,10598.94765
0.115100322,0.108837017,0.013584661,0.012844365,5985.640835,5882.457328,0.224216119,0.150397677,3.56E-05,2.39E-05,6300.178499,6292.193488,0.029585085,0.031325192,7.627890255,69.99908447,7.814658298,70.0243632,10608.76105
0.115910897,0.107395546,0.013677842,0.012687682,5985.324906,5904.959336,0.224325252,0.151244065,3.56E-05,2.40E-05,6299.75752,6291.98476,0.029256366,0.03172923,7.591438961,69.99660492,7.749731072,69.97431437,10609.86392
0.116823939,0.107381197,0.013785472,0.012672972,5985.649748,5920.265029,0.224226404,0.152106452,3.56E-05,2.42E-05,6300.689744,6293.081067,0.029304931,0.031707463,7.56044986,69.99557495,7.702246771,70.01937866,10620.01268
0.116112316,0.107554995,0.013701024,0.012703906,5985.198696,5940.712439,0.22461237,0.15334506,3.57E-05,2.44E-05,6299.498551,6292.910136,0.029363375,0.031692084,7.535218362,70.00612895,7.6434237,69.98128255,10646.57623
0.115945238,0.107735555,0.013678919,0.012714561,5985.49231,5950.392818,0.225380802,0.154767338,3.58E-05,2.46E-05,6300.409139,6292.738051,0.029412026,0.03167671,7.512428904,69.99977112,7.598461423,70.02766927,10665.19073
0.116238782,0.10759834,0.0137198,0.012694428,5985.396653,5959.533217,0.225757492,0.155086398,3.58E-05,2.46E-05,6300.075441,6291.888961,0.029368882,0.031669855,7.488114701,70.00330607,7.538380512,69.98858134,10654.78554
