ТЭА R1A,ТЭА R1B,ТЭА/КК Р1А,ТЭА/КК Р1В,донор R1A,донор R1B,донор/КК Р1А,донор/КК З1В,нефрас R1A,нефрас R1B,ПП/нр Р1А,ПП/нр Р1В,водород R1A,водород R1B,Н2/ПП Р1А,Н2/ПП Р1В,пропилен R1A,пропилен R1B,К R1A,К R1B,давление R1A,давление R1B,Произв
24.45258594,27.37448187,0.127808495,0.133438724,3.422722477,3.828270304,0.017889847,0.018661157,6035.516467,6020.901831,1.052469289,1.054606917,0.243155314,0.174406754,3.83e-05,2.75e-05,6352.195728,6349.684717,191.3220703,205.14646,7.870386481,7.831031811,11242.8902
25.08736696,27.48920031,0.130022476,0.133557497,3.511019588,3.849903256,0.018196866,0.018704925,6034.115552,6018.877344,1.052579206,1.055050695,0.243784507,0.174457414,3.84e-05,2.75e-05,6351.384558,6350.220728,192.9463867,205.8229675,7.854865301,7.824616992,11235.00266
24.64783387,27.31774654,0.126678033,0.132289666,3.45029943,3.821659732,0.017732883,0.018506874,6030.671948,6020.778369,1.05271905,1.05467839,0.244179887,0.174343475,3.85e-05,2.75e-05,6348.603247,6349.984839,194.5707031,206.4994751,7.839926314,7.819418216,11221.1263
24.61696939,27.44138932,0.125471938,0.132454491,3.446279526,3.839630342,0.017565581,0.018533183,6032.81626,6031.854321,1.052552186,1.052699263,0.244512296,0.17399301,3.85e-05,2.74e-05,6349.853943,6349.728601,196.1950195,207.1759827,7.83095063,7.813131309,11226.19407
24.61773744,27.35599427,0.123855512,0.132773669,3.446097153,3.826153022,0.017337829,0.018570423,6033.605115,6032.438171,1.05248342,1.052626588,0.245616456,0.173770853,3.87e-05,2.74e-05,6350.269348,6349.90481,198.7617432,206.0347839,7.821542311,7.813432348,11223.09482
24.53689713,27.45226898,0.121874952,0.133983057,3.43492322,3.839658862,0.017061289,0.018739771,6031.410669,6033.799231,1.052950065,1.052546662,0.246187262,0.173529825,3.88e-05,2.73e-05,6350.774255,6350.855237,201.3284668,204.8935852,7.820861602,7.810663688,11307.57881
25.03949127,27.37118893,0.122805698,0.13433555,3.504660118,3.832849979,0.017188537,0.018811313,6032.004236,6032.461169,1.052615079,1.052586426,0.245919985,0.172448145,3.87e-05,2.72e-05,6349.378613,6349.686743,203.8951904,203.7523865,7.823596871,7.813819456,11323.363
24.32671847,27.42235765,0.120131936,0.132653336,3.406198853,3.837237048,0.016820734,0.01856231,6019.058997,6014.669678,1.054903251,1.05566096,0.245700747,0.171530052,3.87e-05,2.7e-05,6349.524902,6349.451965,202.5000122,206.7219604,7.822442698,7.816330361,11320.28363
25.00853791,27.57241201,0.124355727,0.131490344,3.500114781,3.857025164,0.017404429,0.018393805,6042.107312,6030.502356,1.050916068,1.052973623,0.245170557,0.170482676,3.86e-05,2.68e-05,6349.747656,6349.959912,201.104834,209.6915344,7.813829076,7.821843135,11312.22173
26.03491158,28.6028698,0.13036381,0.134499768,3.643099898,3.999013191,0.018241982,0.018804629,6031.076318,6023.577673,1.052874918,1.054119183,0.244222268,0.169191168,3.85e-05,2.66e-05,6349.968982,6349.568774,199.7096558,212.6611084,7.823956764,7.822602546,11319.73767
26.16737366,29.23978357,0.129990939,0.136508941,3.663472813,4.09225266,0.018198933,0.019105103,6033.77373,6029.014111,1.052549362,1.053279374,0.24359806,0.168161551,3.84e-05,2.65e-05,6350.84469,6350.236206,201.3015198,214.1968384,7.827935219,7.810487068,11311.61474
26.31952796,29.09643369,0.129720977,0.134872699,3.684986103,4.070847368,0.01816218,0.018869879,6032.614282,6028.393848,1.052648043,1.053433584,0.242936979,0.167315649,3.83e-05,2.63e-05,6350.219617,6350.512537,202.8933838,215.7325684,7.810982203,7.858209634,11316.82485
26.04588532,29.3781795,0.127372931,0.135216135,3.646849376,4.107647967,0.017834291,0.018905878,6033.191785,6001.731506,1.052441528,1.057631257,0.242121719,0.166581489,3.81e-05,2.62e-05,6349.58158,6347.618835,204.4852478,217.2682983,7.790798855,7.943853843,11305.94522
25.99317861,30.18703971,0.127344431,0.136545854,3.638879138,4.220978725,0.017827408,0.019092867,6027.623218,5953.784412,1.053538554,1.066589835,0.241137708,0.165912318,3.8e-05,2.61e-05,6350.333447,6350.245935,204.1171204,221.0762085,7.765997887,8.01867919,11312.32283
26.69911671,30.72879434,0.131039257,0.136642794,3.737179273,4.300139272,0.018342075,0.019121578,6030.959851,5976.737732,1.05263696,1.062433096,0.239874971,0.164861032,3.78e-05,2.6e-05,6348.411243,6349.883972,203.7489929,224.8841187,7.769606662,8.017065883,11303.89289
26.06700587,30.65541506,0.128168428,0.134046714,3.649974191,4.290845847,0.017946497,0.018762551,6030.949475,5986.328796,1.052707277,1.06087306,0.238986806,0.164262843,3.76e-05,2.59e-05,6348.824402,6350.734949,203.3808655,228.6920288,7.772829878,7.989372563,11292.27342
26.04507065,30.66883059,0.12809893,0.133936326,3.645751679,4.295645308,0.017931105,0.018759859,6032.621985,6001.815027,1.052683672,1.057912842,0.238668665,0.164694157,3.76e-05,2.59e-05,6350.442664,6349.397192,203.3199707,228.9806763,7.77308284,7.940402246,11295.64566
26.30327106,30.66451707,0.129407609,0.133748888,3.68359111,4.293402028,0.01812264,0.018726457,6031.29624,6017.15238,1.052752561,1.055481542,0.238550462,0.16580153,3.76e-05,2.61e-05,6349.462561,6350.993274,203.2590759,229.2693237,7.766596985,7.875736964,11282.75735
26.92022686,29.89391069,0.132482617,0.130223797,3.767943138,4.190478528,0.018543193,0.018254555,6031.987122,6012.165015,1.052764609,1.056307534,0.237952147,0.167016114,3.75e-05,2.63e-05,6350.262561,6350.695203,203.1981812,229.5579712,7.756279266,7.823026705,11296.8706
26.72895107,29.99853783,0.130007636,0.133089686,3.743064713,4.199127555,0.018205989,0.018629594,6034.244189,6029.135913,1.052358123,1.053142885,0.23620941,0.167835669,3.72e-05,2.64e-05,6350.185889,6349.541589,205.5952393,225.4009216,7.734033823,7.760827887,11275.89885
27.25350494,29.7596293,0.131031318,0.134510525,3.815548301,4.174292445,0.018344662,0.018867381,5979.375952,5997.321204,1.051755708,1.049538564,0.233093839,0.167601405,3.71e-05,2.66e-05,6288.842786,6294.419885,207.9922974,221.2438721,7.711714637,7.719718397,11168.43056
26.57215838,28.9273468,0.126299918,0.133252431,3.720262128,4.050764585,0.017682749,0.018659652,5937.908069,5941.560754,1.052465041,1.051944731,0.230849074,0.167262126,3.69e-05,2.68e-05,6249.440662,6250.19353,210.3893555,217.0868225,7.676701891,7.645917213,11086.70632
26.85814552,28.95787845,0.127674472,0.134370808,3.759470856,4.053955078,0.017871243,0.018811227,5938.690015,5939.038074,1.052329896,1.052169319,0.230828055,0.168827479,3.69e-05,2.7e-05,6249.461047,6248.873645,210.3642578,215.5072144,7.644624579,7.603682864,11092.47077
26.7625371,28.9767231,0.127235162,0.13545107,3.746848124,4.054901314,0.017813364,0.018954549,5939.694812,5940.214307,1.052051594,1.052017929,0.231444289,0.169721084,3.7e-05,2.72e-05,6248.865393,6249.211951,210.3391602,213.9276062,7.617752862,7.5655931,11105.44458
26.63185391,28.85654168,0.126628974,0.135892695,3.728693628,4.047627521,0.017729169,0.019061294,5937.760376,5939.378979,1.052633685,1.052340975,0.232148032,0.170526537,3.71e-05,2.73e-05,6250.286584,6250.251868,210.3140625,212.347998,7.590779519,7.527636766,11112.3311
26.04898257,28.2377265,0.124105984,0.13361673,3.647126871,3.953997672,0.017376121,0.01870973,5937.998596,5936.836328,1.052509005,1.052721526,0.234073222,0.171608581,3.75e-05,2.75e-05,6249.796997,6249.8354,209.893042,211.3337646,7.585460424,7.505163467,11124.60241
26.59975777,28.51130385,0.126984776,0.135561846,3.723485118,3.990022951,0.017775573,0.018971243,5936.455066,5938.181653,1.052804527,1.052378933,0.234182894,0.172026229,3.75e-05,2.75e-05,6249.92677,6249.217273,209.4720215,210.3195313,7.62813834,7.495553017,11120.14746
27.56967268,28.43955112,0.131880128,0.135875926,3.856633395,3.981798398,0.01844829,0.019023878,5935.839111,5938.00625,1.052627633,1.052547158,0.235591131,0.172753044,3.77e-05,2.76e-05,6248.228271,6250.031604,209.051001,209.3052979,7.669978607,7.472941637,11127.86451
27.7670382,28.3668335,0.145387923,0.150856868,3.885426813,3.970810318,0.020344054,0.021117056,5937.51272,5934.868127,1.052689645,1.053114707,0.268144885,0.199294194,4.29e-05,3.19e-05,6250.358154,6250.096912,190.9858643,188.0380646,7.714288235,7.520844054,11148.74823
28.12989655,28.26689215,0.162675099,0.16949542,3.93872934,3.957749742,0.022777659,0.023731666,5935.283667,5930.185608,1.052752181,1.053720354,0.268602584,0.199867349,4.3e-05,3.2e-05,6248.382825,6248.757275,172.9207275,166.7708313,7.747450793,7.604410326,11143.617
28.05898471,27.96455169,0.181194522,0.192191479,3.928215432,3.911873573,0.025366959,0.026885064,5928.432471,5913.409802,1.054367547,1.056609189,0.268777382,0.199951479,4.3e-05,3.2e-05,6250.746802,6248.163135,154.8555908,145.503598,7.788809979,7.740994394,11137.3183
27.94195962,27.9919158,0.169515706,0.172263126,3.914462036,3.916716129,0.023747898,0.024103594,5937.193994,5938.576428,1.052512048,1.052283724,0.268682112,0.19989485,4.3e-05,3.2e-05,6248.968213,6249.067322,164.8340454,162.4951111,7.825642145,7.854708958,11126.32511
27.96811261,27.99338193,0.159989203,0.15596361,3.91411019,3.91433441,0.022390334,0.021808502,5937.629846,5935.718103,1.052768772,1.052894433,0.26880217,0.200014675,4.3e-05,3.2e-05,6250.951282,6249.684546,174.8125,179.4866241,7.842145336,7.913798976,11135.61061
27.89685235,28.02165384,0.150964382,0.142619704,3.904241961,3.917025113,0.021127885,0.019936188,5935.126978,5938.29248,1.052858825,1.052589299,0.268716394,0.200057803,4.3e-05,3.2e-05,6248.850818,6250.583118,184.7909546,196.4781372,7.898306143,7.916494215,11131.51405
