feature,importance_mlp
донор/КК Р1А,0.5207197158336163
ТЭА/КК Р1А,0.4650798512583949
ТЭА/КК Р1В,0.4522868434975163
ТЭА R1B,0.3727574534305853
ТЭА R1A,0.3416973953266571
К R1A,0.32303360275441956
донор R1A,0.3150482016247274
давление R1B,0.3099669910378519
давление R1A,0.3015915003488047
донор/КК З1В,0.2893646505189333
водород R1A,0.27591129018354993
К R1B,0.267316328387449
донор R1B,0.25423563135637234
ПП/нр Р1А,0.20372307880589158
водород R1B,0.2012999946435946
Н2/ПП Р1А,0.1985263889680542
ПП/нр Р1В,0.18918266417914406
Н2/ПП Р1В,0.18715629185110846
нефрас R1B,0.18123708429232172
пропилен R1B,0.1713220915362893
нефрас R1A,0.15318692525116773
пропилен R1A,0.14385080651536405
температура R1A,0.07126380366463085
температура R1B,0.07120826171169173
