feature,importance_xgb
пропилен R1B,0.16725954
нефрас R1A,0.07474381
нефрас R1B,0.059977032
пропилен R1A,0.05262975
К R1B,0.04927719
донор R1B,0.04461149
донор/КК З1В,0.042423848
К R1A,0.042086896
ТЭА/КК Р1В,0.04187644
водород R1B,0.039813526
давление R1B,0.039028376
давление R1A,0.03807461
ТЭА/КК Р1А,0.036283895
донор R1A,0.03330355
ТЭА R1B,0.032476116
водород R1A,0.032176998
Н2/ПП Р1А,0.029426385
Н2/ПП Р1В,0.028777726
ПП/нр Р1В,0.027388472
донор/КК Р1А,0.027174931
ТЭА R1A,0.020159783
ПП/нр Р1А,0.015378484
температура R1B,0.013413118
температура R1A,0.012237991
