ТЭА R1A,ТЭА R1B,донор R1A,донор R1B,нефрас R1A,нефрас R1B,водород R1A,водород R1B,пропилен R1A,пропилен R1B,давление R1A,температура R1A,давление R1B,температура R1B,катализатор R1A,катализатор R1B,производительность
26.32614269,28.50636215,4.603545237,4.98727355,5897.090234,5964.906738,0.23181026,0.173875611,6249.450098,6249.40293,7.165852499,70.04760742,7.106401634,70.05615234,0.225021952,0.231202091,11082.63504
26.30829411,28.53694592,4.607362175,4.994987011,5875.014893,5953.374512,0.232204936,0.173823795,6248.826221,6248.923779,7.154811859,70.0201416,7.088524103,69.98046875,0.225066895,0.231431892,11071.29839
26.23684368,28.45171242,4.588831472,4.972848368,5875.039697,5946.5479,0.232855518,0.17428868,6249.169824,6249.47583,7.154632568,69.99979655,7.079675055,69.93347168,0.225111837,0.231661692,11124.42465
26.16657505,28.37337208,4.579012918,4.973334312,5878.046777,5936.766162,0.233280505,0.17451628,6249.297559,6249.333398,7.148792267,70.01220703,7.08760004,69.92980957,0.225156779,0.231891493,11129.60461
25.78121891,28.33089142,4.518198967,4.954391766,5874.32041,5935.568652,0.233746539,0.174414992,6251.008057,6248.5896,7.143916702,70.01464844,7.097930098,70.05737305,0.225201721,0.232121294,11083.46954
25.95857735,28.24282246,4.530547476,4.942827797,5875.412744,5938.392871,0.234014758,0.174423759,6251.994678,6250.767041,7.135717249,69.99176025,7.088888454,70.08056641,0.225246663,0.232351095,11112.00492
26.75207958,28.34937744,4.681481409,4.950330067,5877.996094,5943.988037,0.234277749,0.174740592,6250.068896,6252.107471,7.132058287,70.00305176,7.078875065,70.05859375,0.225291606,0.232580895,11115.67555
26.28026104,28.60562477,4.598105812,5.008705568,5875.724023,5944.837354,0.234316707,0.17500219,6250.160449,6251.362207,7.126822424,70.00427246,7.061699057,69.97314453,0.225336548,0.232810696,11065.46385
26.22047901,28.45018692,4.588873243,4.99283967,5870.633105,5933.738916,0.234391427,0.175131711,6246.81499,6253.175537,7.117899132,69.99511719,7.059925556,69.90478516,0.22538149,0.233040497,11108.50943
26.13501225,28.46022453,4.573506212,4.983574152,5864.605957,5918.612598,0.235057341,0.175435631,6247.277979,6255.516016,7.111974525,70.01586914,7.074834919,70.02685547,0.225426432,0.233270298,11099.33156
26.15385227,28.4725359,4.577741671,4.985576725,5873.372314,5930.223291,0.235808715,0.176050116,6250.17373,6242.035645,7.105240202,70.00061035,7.073314524,70.04577637,0.225471375,0.233500098,11058.7894
26.09962063,28.55091553,4.562359858,4.993133974,5873.214014,5936.216064,0.236403358,0.176585466,6250.466504,6251.219922,7.105499554,69.99023438,7.063125658,70.02441406,0.225516317,0.233729899,11116.34554
26.10498543,28.42581806,4.567116547,4.974552345,5884.319092,5939.790674,0.237036721,0.177155295,6251.869238,6251.627588,7.099327755,70.00732422,7.056792307,70.05126953,0.225599582,0.233793818,11110.18234
25.83820038,28.3275383,4.520004034,4.957751274,5875.586475,5940.069824,0.237866035,0.177572465,6253.064453,6245.681396,7.093414211,70.02685547,7.04227066,69.96704102,0.225682848,0.233857737,11103.87047
25.86115494,28.31802006,4.526182747,4.96402626,5878.344922,5940.897266,0.23826593,0.178173406,6251.590039,6251.320752,7.076363039,69.99816895,7.036000776,69.93225098,0.225766113,0.233921656,11085.75492
26.40154285,28.38314476,4.614125204,4.963171625,5874.750488,5937.739795,0.239018305,0.178973876,6249.802393,6252.285156,7.080645132,69.99755859,7.044284391,70.01037598,0.225849379,0.233985575,11093.61614
26.60398827,28.44579468,4.666929674,4.977681065,5872.48584,5938.302979,0.239572695,0.179034927,6249.915869,6249.222705,7.06706233,70.0201416,7.042032385,70.01495361,0.225932644,0.234049494,11212.83936
25.95582638,28.38889236,4.543572474,4.966444921,5880.08667,5937.245361,0.240073948,0.179223579,6250.535742,6247.491699,7.058478451,70.01159668,7.03643117,70.0213623,0.22601591,0.234113413,11142.7306
25.76986561,28.4387146,4.505375671,4.980771494,5875.478027,5941.351465,0.240571204,0.17947939,6246.499414,6249.879004,7.051528358,69.98046875,7.027766609,70.02380371,0.226099175,0.234177333,11138.17063
25.99935932,28.40822163,4.548384094,4.969066381,5871.422168,5935.301318,0.241474447,0.180036224,6249.421191,6251.25708,7.049790812,70.01281738,7.022215271,70.01098633,0.226182441,0.234241252,11123.4686
26.44385242,28.39966507,4.625043535,4.974080229,5878.88623,5941.691992,0.242344521,0.180053332,6253.424756,6250.470215,7.035679007,70.03234863,7.019632244,70.04455566,0.226265706,0.234305171,11178.50467
26.36563416,28.35444469,4.615145206,4.97101469,5882.110986,5940.92793,0.242725779,0.179493159,6252.580322,6247.631934,7.027734709,70.01953125,7.010495138,70.0201416,0.226348972,0.23436909,11126.14095
26.27234001,28.3191328,4.598140049,4.959702253,5876.225537,5941.558447,0.243350714,0.179912119,6251.584033,6250.760645,7.0254498,69.99287923,7.000626802,69.9798584,0.226432237,0.234433009,11114.89452
