ТЭА R1A,ТЭА R1B,ТЭА/КК Р1А,ТЭА/КК Р1В,донор R1A,донор R1B,донор/КК Р1А,донор/КК З1В,нефрас R1A,нефрас R1B,ПП/нр Р1А,ПП/нр Р1В,водород R1A,водород R1B,Н2/ПП Р1А,Н2/ПП Р1В,пропилен R1A,пропилен R1B,К R1A,К R1B,давление R1A,температура R1A,давление R1B,температура R1B,Произв.
21.3088377,21.42865802,0.172572241,0.156451026,2.50147613,2.499255395,0.020258512,0.01824711,5935.198869,5940.260189,1.05277391,1.052035414,0.224810265,0.167040832,3.59787E-05,2.67293E-05,6248.422518,6249.364089,123.4777832,136.9671936,7.527601902,70.00205994,7.492661633,70.02555847,11290.14338
21.56259183,21.44013879,0.171812701,0.158272838,2.499410532,2.499899015,0.019915531,0.018454457,5936.885341,5936.720097,1.05267606,1.052783422,0.224843405,0.167307354,3.59771E-05,2.67688E-05,6249.617072,6250.080497,125.5005697,135.4631602,7.551398754,70.01434326,7.444041793,69.99463399,11258.02266
21.67703505,21.46695468,0.169984822,0.160250034,2.501000175,2.502189436,0.019612095,0.018678753,5939.274339,5941.842828,1.052649258,1.051883858,0.224590408,0.167641327,3.59231E-05,2.68221E-05,6251.972727,6250.128558,127.5233561,133.9591268,7.545727811,70.02732171,7.402551715,70.00310262,11268.7959
21.54744735,21.43452562,0.166330289,0.16182485,2.498948153,2.500474511,0.019290024,0.018877904,5937.34825,5937.803994,1.052539877,1.052403262,0.223973666,0.167885905,3.58398E-05,2.68662E-05,6249.295797,6248.96429,129.5461426,132.4550934,7.510116482,70.0029246,7.376805486,69.98858134,11265.2817
21.4585403,21.46067991,0.16488398,0.165357543,2.500706149,2.499221681,0.019215025,0.019256853,5937.63822,5937.410126,1.052530859,1.052622909,0.223534577,0.168196602,3.57681E-05,2.69121E-05,6249.547459,6249.853918,130.1432699,129.7834956,7.47840397,70.00025431,7.36465738,69.9676005,11276.84653
21.50534579,21.43401062,0.164488913,0.168623166,2.500073907,2.499942035,0.019122429,0.019667254,5937.949825,5937.424426,1.052581466,1.052694393,0.223749627,0.168450833,3.57989E-05,2.69509E-05,6250.175932,6250.2934,130.7403971,127.1118978,7.450834777,70.00063578,7.372102058,69.99849955,11279.05968
21.43448368,21.43471188,0.16320152,0.172248957,2.49957626,2.499882961,0.019031699,0.020089014,5967.012679,5959.291577,1.052982656,1.054233878,0.225072469,0.169178933,3.58215E-05,2.69287E-05,6283.16086,6282.487067,131.3375244,124.4403,7.432517517,69.99178569,7.380676746,69.98710632,11329.22115
21.35464815,21.44193971,0.157853355,0.171768712,2.513983858,2.518088668,0.018583345,0.020172095,5985.306297,5982.256126,1.052658454,1.053070641,0.22547158,0.169312132,3.57864E-05,2.68761E-05,6300.483272,6299.738293,135.2815603,124.8302994,7.431588238,69.99834696,7.405760121,69.99633789,11357.43652
21.42594721,21.446236,0.153893737,0.171268047,2.527945497,2.535111911,0.018157189,0.020245215,5985.332088,5984.557965,1.05256276,1.052717541,0.225129028,0.169225276,3.57351E-05,2.68609E-05,6299.937663,6300.049148,139.2255961,125.2202988,7.424932647,70.00132243,7.427745926,70.02794902,11367.97237
21.69969138,21.45175417,0.1515663,0.170780219,2.561801543,2.530434032,0.01789347,0.020145116,5985.023151,5984.505151,1.052613783,1.052864655,0.224266743,0.169061862,3.55984E-05,2.68315E-05,6299.917859,6300.873954,143.169632,125.6102982,7.427115911,69.9970754,7.438223737,70.01604716,11346.59423
21.64057709,21.46051201,0.159107217,0.169493474,2.553712795,2.53116415,0.018775568,0.01999094,5985.427063,5984.975708,1.052638045,1.052649369,0.223930018,0.168949493,3.55417E-05,2.6817E-05,6300.488245,6300.080902,136.0125427,126.615565,7.431857336,69.9953715,7.446256733,70.00241597,11342.22428
21.35935634,21.43991826,0.165762145,0.167997011,2.519899793,2.535742895,0.01955602,0.019869349,5983.056529,5983.85776,1.052652242,1.052744635,0.223733043,0.168645336,3.5524E-05,2.67713E-05,6298.077871,6299.474154,128.8554535,127.6208318,7.442514825,69.99608358,7.452378736,69.99827067,11329.4196
21.29475261,21.45879618,0.174979777,0.16683081,2.511938322,2.535632019,0.020640691,0.0197132,5984.641164,5975.497205,1.052660102,1.05442084,0.223615249,0.168490519,3.54957E-05,2.67416E-05,6299.792979,6300.688784,121.6983643,128.6260986,7.460938253,69.99087016,7.460260355,69.99969482,11316.54593
21.90871429,21.44862807,0.176349944,0.166326584,2.586346989,2.539119706,0.020818298,0.019689982,5984.464667,5979.541246,1.052675414,1.053591364,0.223222511,0.168301416,3.54338E-05,2.67145E-05,6299.698818,6299.99302,124.234314,128.9549001,7.484179578,70.00775655,7.458544781,69.98184204,11301.46009
21.30336119,21.48633575,0.16804699,0.166195239,2.514323574,2.537735004,0.019833702,0.019629195,5986.071303,5978.133887,1.052524642,1.053957034,0.223195798,0.166917017,3.54252E-05,2.64918E-05,6300.487555,6300.696263,126.7702637,129.2837016,7.501452216,70.00910441,7.468581635,70.02494812,11315.1857
21.45275996,21.43275402,0.165906644,0.165360235,2.530558974,2.530213594,0.019570281,0.01952137,5982.763719,5979.121206,1.052862447,1.053591132,0.223173931,0.165240033,3.54299E-05,2.62305E-05,6299.02725,6299.54908,129.3062134,129.6125031,7.533792923,69.98387655,7.468656717,69.97988383,11306.56043
21.71176325,21.43883705,0.167183003,0.164722779,2.562934766,2.530235597,0.019734884,0.019440767,5984.274217,5984.098855,1.052716116,1.052758513,0.223448883,0.164551384,3.54695E-05,2.61201E-05,6299.741913,6299.811011,129.8682454,130.1510162,7.562894428,69.99690586,7.475744635,69.99359131,11300.14696
21.21551185,21.44103048,0.162657876,0.164060813,2.50332431,2.531367742,0.019192816,0.019369323,5985.496086,5982.072902,1.052655796,1.05321694,0.224150728,0.164035549,3.55757E-05,2.60357E-05,6300.667149,6300.420516,130.4302775,130.6895294,7.585534861,70.0008138,7.503030703,69.99804179,11330.69215
21.58980033,21.44229827,0.164817312,0.163397227,2.547257158,2.531315757,0.019445853,0.019289442,5984.089809,5980.169621,1.052715314,1.053427145,0.22491811,0.163659814,3.57039E-05,2.59791E-05,6299.542983,6299.67301,130.9923096,131.2280426,7.601082299,70.00612895,7.530571349,69.97599284,11325.49515
21.64226263,21.43448462,0.160305706,0.160322009,2.553357428,2.531844792,0.018912892,0.018937262,5986.136013,5967.479506,1.052496673,1.055862806,0.225824442,0.163167077,3.58429E-05,2.58961E-05,6300.388236,6300.839655,135.00619,133.6964569,7.603359574,70.00259399,7.558235325,70.00620524,11326.5029
21.34653733,21.45487694,0.15355004,0.157565433,2.51975433,2.531939099,0.018125112,0.018594657,5985.784226,5959.505025,1.052645125,1.057179869,0.22646032,0.163100175,3.59409E-05,2.58878E-05,6300.906586,6300.268744,139.0200704,136.1648712,7.601786272,70.0075531,7.582929271,70.02723694,11322.57714
21.68651528,21.46688587,0.151617956,0.154846549,2.557748903,2.533385623,0.01788211,0.018274007,5985.132772,5960.244613,1.052638287,1.057112958,0.227035921,0.163149232,3.60364E-05,2.5894E-05,6300.179911,6300.651815,143.0339508,138.6332855,7.593230798,69.97227987,7.58527297,69.99046326,11333.36197
21.5167357,21.43848786,0.15190986,0.152711102,2.539437169,2.534161002,0.017928628,0.018051391,5984.492668,5962.613308,1.052686915,1.056688306,0.226938158,0.16277921,3.60231E-05,2.58354E-05,6299.797121,6300.623753,141.6414693,140.3859151,7.620991315,70.00793457,7.585211716,70.00457764,11319.82834
21.33440436,21.44068749,0.152118063,0.150843584,2.517137688,2.533078653,0.017947635,0.017821195,5984.669869,5964.328229,1.052730994,1.056329907,0.225948974,0.162148326,3.58635E-05,2.57366E-05,6300.247459,6300.298283,140.2489878,142.1385447,7.632836592,69.99768575,7.585905508,69.99099731,11321.87365
21.40876146,21.45246277,0.15417903,0.149088107,2.525780894,2.531614076,0.018189863,0.01759395,5985.107971,5960.947304,1.052649978,1.056969287,0.225302501,0.162018914,3.5761E-05,2.57151E-05,6300.223775,6300.538222,138.8565063,143.8911743,7.646614446,69.99839783,7.596003085,69.98967489,11319.26213
21.51006995,21.42234988,0.153086996,0.146634154,2.538537417,2.527785366,0.01806675,0.017302475,5984.652688,5952.068679,1.05264226,1.058372495,0.225218357,0.161913001,3.57507E-05,2.57025E-05,6299.69833,6299.50578,140.5087992,146.0938619,7.655763733,70.00424703,7.628568868,69.99369303,11296.42825
21.50545253,21.43832029,0.151275234,0.144563851,2.536904286,2.529623047,0.017845279,0.017057869,5984.765015,5938.908181,1.052633341,1.060945153,0.224885786,0.161169448,3.56975E-05,2.5579E-05,6299.763194,6300.855851,142.1610921,148.2965495,7.65777988,69.99816895,7.664847678,69.99651591,11293.70412
21.49846025,21.44276855,0.149488591,0.14247759,2.537156124,2.529606844,0.017642003,0.016808104,5987.288344,5944.1526,1.0524192,1.059826061,0.224855549,0.160683836,3.56849E-05,2.55063E-05,6301.137209,6299.767837,143.813385,150.4992371,7.658097905,70.00473022,7.676975385,70.01993815,11309.49281
21.49890485,21.44478569,0.148225898,0.140107568,2.536146505,2.532068965,0.017485662,0.016543044,5985.166644,5971.180552,1.052474352,1.055227492,0.224971886,0.160609105,3.57142E-05,2.54896E-05,6299.234387,6300.953876,145.0414886,153.0594381,7.649781269,70.00546773,7.659709543,70.00071208,11336.46743
21.76686287,21.44676189,0.148813315,0.137815266,2.568284041,2.52953743,0.017558564,0.016254616,5985.121147,5969.141014,1.052668207,1.05553587,0.225072751,0.160524638,3.57239E-05,2.54775E-05,6300.346747,6300.642452,146.2695923,155.6196391,7.650235063,69.98357137,7.64606518,69.97828166,11340.33685
21.4867969,21.44573119,0.145675475,0.135578157,2.535586718,2.531098021,0.017190687,0.016001394,5985.260982,5968.58517,1.05260854,1.055396315,0.225239647,0.160472509,3.57515E-05,2.5475E-05,6300.136827,6299.222797,147.4976959,158.1798401,7.663627849,69.99061584,7.648771866,69.99633789,11338.58315
21.40357778,21.43921583,0.143331445,0.134003546,2.525793931,2.52858022,0.016914261,0.015804623,5984.813214,5967.886466,1.052658465,1.05582023,0.22545891,0.160621285,3.57873E-05,2.54913E-05,6299.964292,6301.015259,149.3292542,159.9899139,7.679389377,70.00027974,7.652782822,70.01958211,11349.74916
21.30961567,21.49159482,0.140973149,0.132828161,2.514840269,2.535630953,0.016636853,0.015671391,5985.2691,5968.793742,1.052619472,1.055551429,0.225882429,0.160717763,3.58532E-05,2.55093E-05,6300.210799,6300.368766,151.1608124,161.7999878,7.68826737,70.00005086,7.648536102,69.982783,11337.96003
21.69718903,21.4459691,0.141818765,0.131079769,2.55921483,2.53123649,0.016727728,0.015471154,5984.06275,5968.152317,1.05275779,1.05557241,0.225728327,0.160760448,3.58312E-05,2.55183E-05,6299.768679,6299.816927,152.9923706,163.6100616,7.700627794,70.00272115,7.646513093,69.99814351,11352.61931
21.60643408,21.4436795,0.139461974,0.13001084,2.550311065,2.534486533,0.016461366,0.015366333,5984.582204,5969.381862,1.052623543,1.055391813,0.225139972,0.160642929,3.57393E-05,2.54987E-05,6299.512122,6300.036747,154.927063,164.9376272,7.703707069,69.98936971,7.641208071,69.98736064,11335.54558
21.29451732,21.44277684,0.135753404,0.128967323,2.511877858,2.526763278,0.016013322,0.015197187,5984.976119,5968.474365,1.052656471,1.055559542,0.224647875,0.160506939,3.56577E-05,2.5477E-05,6300.123838,6300.080066,156.8617554,166.2651927,7.724664237,69.99046326,7.658352778,69.98672485,11363.08499
21.71699782,21.4048123,0.136759972,0.127719196,2.560995899,2.519834572,0.016127539,0.015035462,5982.721906,5951.766331,1.052747783,1.058183125,0.224144388,0.160223158,3.55881E-05,2.54401E-05,6298.297225,6298.058698,158.7964478,167.5927582,7.749750529,69.99249776,7.71963622,69.97375488,11356.39422
21.33271295,21.45285579,0.131945328,0.127385508,2.517990041,2.529957139,0.015574063,0.015022703,5984.348987,5928.737797,1.052700835,1.061941888,0.223969565,0.159777114,3.55523E-05,2.53777E-05,6299.729175,6295.97501,161.6784261,168.4089203,7.773381849,70.00505235,7.779091058,69.98855591,11345.43958
21.67965389,21.44841834,0.131742833,0.126744913,2.559032968,2.538537489,0.015550721,0.015000953,5985.361208,5913.761662,1.052468877,1.064324394,0.224097046,0.159676033,3.55743E-05,2.53689E-05,6299.406388,6294.160795,164.5604045,169.2250824,7.78857525,70.00498454,7.820109169,70.03041585,11341.96902
21.50901891,21.50889413,0.12845624,0.126492218,2.538933572,2.538819422,0.015163028,0.01493061,5983.81226,5906.693646,1.052923679,1.065301199,0.224480188,0.15934357,3.5629E-05,2.53231E-05,6300.497622,6292.407823,167.4423828,170.0412445,7.815419831,69.97249179,7.844370641,70.01146952,11369.26181
21.18610967,21.35400414,0.125558325,0.125518144,2.498985474,2.518280072,0.014810101,0.014802369,5982.273254,5862.654415,1.053018651,1.073078398,0.224264273,0.158978353,3.56006E-05,2.52704E-05,6299.44531,6291.087805,168.7352041,170.1268311,7.851245205,70.01328786,7.868127487,69.98265584,11356.36511
21.53769379,21.48340575,0.126671434,0.126215267,2.543238951,2.536496696,0.014957763,0.014901949,5985.134017,5840.399736,1.052604891,1.077269299,0.224511699,0.158765074,3.56369E-05,2.52341E-05,6299.981337,6291.683331,170.0280253,170.2124176,7.861879327,70.01223246,7.89564847,69.99071757,11337.46455
21.37936246,21.44890543,0.124791366,0.125949247,2.521905913,2.529393233,0.014720368,0.014852747,5984.613723,5832.200828,1.052709303,1.078915374,0.22448631,0.158771524,3.56324E-05,2.52321E-05,6300.058541,6292.451137,171.3208466,170.2980042,7.869612767,69.93377686,7.926364066,69.99303182,11345.09627
21.84052434,21.44259166,0.12747569,0.125944552,2.577257182,2.528904008,0.015042571,0.014853693,5983.517999,5824.269432,1.052770904,1.080292292,0.224428131,0.158598019,3.56276E-05,2.52066E-05,6299.273655,6291.913373,171.330897,170.2542216,7.950278477,70.01492818,7.948171763,69.99209086,11341.96417
21.33709675,21.43382688,0.12453005,0.125925454,2.518791905,2.531852677,0.014700467,0.014874838,5984.141823,5817.195463,1.052719195,1.081510225,0.22433404,0.158711327,3.56107E-05,2.52269E-05,6299.620962,6291.356376,171.3409475,170.210439,7.980522561,70.02540588,7.97135734,70.00554403,11314.90946
21.54504464,21.44103003,0.125736324,0.126000184,2.541025648,2.52776511,0.01482936,0.014854644,5986.603286,5807.614624,1.052558561,1.083303664,0.224219464,0.158087484,3.55833E-05,2.51275E-05,6301.250537,6291.410199,171.3509979,170.1666565,7.986139337,70.01190186,7.994188001,70.01764933,11322.89549
21.61054183,21.44661046,0.124131682,0.123803058,2.550181257,2.52823961,0.014648327,0.014594558,5985.246802,5803.620449,1.052458825,1.084237071,0.223516845,0.155744069,3.54832E-05,2.47507E-05,6299.225816,6292.500435,174.0936839,173.2316691,7.979878445,70.01492818,8.005997221,69.97657776,11313.35828
21.2940197,21.44083738,0.120416517,0.121617929,2.513619715,2.528592376,0.014214382,0.014342825,5987.133014,5812.394088,1.05251912,1.082414763,0.223256696,0.153214797,3.54287E-05,2.4353E-05,6301.571973,6291.421169,176.8363698,176.2966817,7.960918276,70.0281016,8.020554906,70.02276103,11333.88748
21.48983914,21.46214523,0.119667848,0.119658466,2.536570917,2.531178997,0.014125093,0.014112149,5986.18055,5817.981148,1.052514286,1.081498215,0.223205317,0.151277395,3.54264E-05,2.40423E-05,6300.54055,6292.136228,179.5790558,179.3616943,7.910500032,70.01757304,8.006923958,69.99806722,11046.37685
21.63787659,21.43197076,0.118085749,0.116741145,2.552953677,2.531044162,0.013932395,0.013786739,5986.670949,5822.717686,1.052473126,1.080673622,0.223194176,0.149999499,3.54231E-05,2.3838E-05,6300.810288,6292.45741,183.238678,183.5854085,7.84891656,70.01490275,7.990918589,70.02161662,10807.05538
21.58360662,21.44293845,0.115483162,0.114174105,2.547579026,2.528602675,0.01363083,0.013463684,5986.406921,5833.174563,1.052477215,1.078812058,0.223508168,0.149523866,3.54744E-05,2.37607E-05,6300.556885,6292.899056,186.8983002,187.8091227,7.783469367,70.00658671,7.963325852,70.00574748,10763.39277
21.50003014,21.44849703,0.112826745,0.11169182,2.537146433,2.531897759,0.013314306,0.013184713,5985.114453,5847.468819,1.052496425,1.076119688,0.22387607,0.14930549,3.55398E-05,2.37272E-05,6299.311566,6292.576318,190.5579224,192.0328369,7.722718209,69.99944051,7.924482761,70.03819784,10598.93506
21.46653416,21.44756079,0.113896153,0.110231413,2.532820781,2.530803316,0.013438524,0.013007261,5986.673875,5865.728534,1.052520358,1.072685156,0.224347509,0.149694871,3.56045E-05,2.3791E-05,6301.09613,6292.079926,188.4746195,194.5685018,7.669597022,70.00017802,7.866263431,69.99216715,10598.94765
21.45370053,21.45222956,0.115100322,0.108837017,2.532062805,2.531677913,0.013584661,0.012844365,5985.640835,5882.457328,1.052548703,1.069653911,0.224216119,0.150397677,3.55889E-05,2.39023E-05,6300.178499,6292.193488,186.3913167,197.1041667,7.627890255,69.99908447,7.814658298,70.0243632,10608.76105
21.36330713,21.44042872,0.115910897,0.107395546,2.520935892,2.532966763,0.013677842,0.012687682,5985.324906,5904.959336,1.052533926,1.065542437,0.224325252,0.151244065,3.56086E-05,2.40376E-05,6299.75752,6291.98476,184.3080139,199.6398315,7.591438961,69.99660492,7.749731072,69.97431437,10609.86392
21.57052121,21.42658985,0.116823939,0.107381197,2.545367117,2.528734743,0.013785472,0.012672972,5985.649748,5920.265029,1.052632548,1.062972863,0.224226404,0.152106452,3.55876E-05,2.41704E-05,6300.689744,6293.081067,184.641276,199.5376333,7.56044986,69.99557495,7.702246771,70.01937866,10620.01268
21.47782195,21.45027721,0.116112316,0.107554995,2.534340622,2.533608928,0.013701024,0.012703906,5985.198696,5940.712439,1.052512852,1.059285431,0.22461237,0.15334506,3.56556E-05,2.43679E-05,6299.498551,6292.910136,184.9745382,199.435435,7.535218362,70.00612895,7.6434237,69.98128255,10646.57623
21.48555699,21.47527694,0.115945238,0.107735555,2.534810474,2.534434603,0.013678919,0.012714561,5985.49231,5950.392818,1.052613355,1.057533216,0.225380802,0.154767338,3.57724E-05,2.45946E-05,6300.409139,6292.738051,185.3078003,199.3332367,7.512428904,69.99977112,7.598461423,70.02766927,10665.19073
21.50721702,21.44039111,0.116238782,0.10759834,2.538522056,2.529532493,0.0137198,0.012694428,5985.396653,5959.533217,1.052574425,1.055768754,0.225757492,0.155086398,3.58341E-05,2.46486E-05,6300.075441,6291.888961,185.0261739,199.2632141,7.488114701,70.00330607,7.538380512,69.98858134,10654.78554
21.53144496,21.48619272,0.11654712,0.1078661,2.540101972,2.537181702,0.013749266,0.012737291,5985.863774,5958.045015,1.052425872,1.056179871,0.225663492,0.154914597,3.58214E-05,2.46179E-05,6299.677899,6292.767214,184.7445475,199.1931915,7.467208672,69.99673208,7.498995664,70.00801086,10678.5199
21.65847735,21.43293543,0.117413718,0.107636573,2.556349551,2.528999021,0.013858338,0.012700677,5986.105316,5980.857121,1.052562731,1.052030936,0.225934346,0.154554414,3.58583E-05,2.45635E-05,6300.751359,6292.046716,184.4629211,199.1231689,7.450199638,70.00267029,7.459709225,69.9772644,10734.96496
21.29261846,21.42446539,0.115666868,0.107349942,2.513326847,2.528391483,0.013653025,0.012668819,5984.850181,5979.003965,1.052593908,1.052371289,0.226206358,0.154802607,3.5908E-05,2.46026E-05,6299.616844,6292.132113,184.0857188,199.5759379,7.434896876,70.00078837,7.432212583,70.00742594,10758.13943
21.39063877,21.44690189,0.116437927,0.10721912,2.522963141,2.5315055,0.013733512,0.012655711,5983.346411,5980.02819,1.052617846,1.052281896,0.226435444,0.155480011,3.59525E-05,2.47081E-05,6298.177209,6292.675405,183.7085164,200.0287069,7.430691624,69.99961853,7.40246744,69.99313354,10752.46353
21.73602264,21.47282863,0.118561429,0.107106298,2.564782341,2.533618342,0.013989876,0.012637668,5984.565371,5979.119737,1.052698305,1.052411074,0.226555905,0.155857792,3.59616E-05,2.47689E-05,6299.941823,6292.491825,183.3313141,200.4814758,7.435442062,70.00531514,7.377368321,69.99865214,10756.41962
21.58247626,21.44628429,0.117714015,0.110327661,2.547249404,2.530718422,0.013893075,0.013018957,5984.539292,5979.291443,1.052685526,1.052326588,0.226315958,0.15585532,3.59241E-05,2.47697E-05,6299.837895,6292.167362,183.3467,194.3871918,7.435834304,69.97423808,7.355094602,69.96510824,11053.6472
21.43355447,21.43273979,0.116891965,0.113826591,2.528859053,2.530329743,0.013791614,0.013438264,5984.228235,5972.711867,1.052717283,1.053458516,0.226250803,0.155605974,3.59145E-05,2.47307E-05,6299.70049,6292.004181,183.362086,188.2929077,7.484653757,69.96546427,7.390579257,69.96335347,11324.80852
